weight,feature
8.674368718422132,price_open_KORE
-7.542154511345152,price_open_XWC
-7.125358342649438,volume_ION
7.072830179457393,volume_VRC
-6.967054388773033,price_low_TIX
-6.927518169216066,price_open_FAIR
6.925922904332691,volume_DASH
6.77203596443942,price_high_GOLOS
6.512137105448398,price_close_TRUST
-6.310029922532268,volume_ZEN
6.2789348412934745,price_close_ABY
-6.24614328857601,volume_XEL
6.232262056487954,price_open_VIA
-6.156994822027178,price_high_ZCL
6.155532068169448,price_open_GAM
-6.136276659355758,price_open_GCR
6.088912169852912,volume_MONA
-6.0599863758864965,price_close_ZCL
5.995982813280955,volume_GLD
-5.992428369904579,price_open_NBT
5.758020660879649,price_open_ANT
-5.700974675548219,price_low_FTC
5.692741903693482,price_open_FLDC
-5.679979502123646,price_high_PDC
-5.517362643013355,price_close_GAM
5.422993250947573,volume_NXC
5.413623714396542,price_low_TRUST
-5.339536451696541,volume_LTC
-5.330305851888599,price_close_ENRG
5.117513853749999,volume_EMC
5.07026520597822,price_close_INFX
-5.041112336968447,price_open_PPC
4.853763107664206,volume_ADT
4.822797009996617,volume_VOX
-4.612277432942071,price_close_MEME
-4.461568767183128,volume_APX
4.428232475932855,volume_XMG
-4.414855773016205,price_low_ZCL
-4.391490452573165,volume_ETH
4.377703166625062,volume_FUN
4.304410455947359,price_low_GAME
4.267735630256683,price_low_XWC
4.230810422347359,price_high_XMR
4.221878693146789,price_close_BSD
-4.172062709276591,price_low_GNT
4.022266528693905,price_close_MUE
-3.938578188869172,price_low_VTC
-3.874191694934942,price_low_ETH
-3.859003091114235,price_open_GNT
-3.8039807997308515,price_close_OK
3.7987282617162825,price_low_ANT
3.765349351470011,price_open_BTCD
-3.705015861351635,price_open_2GIVE
-3.6733286288334384,volume_ERC
3.5289193413870033,volume_PAY
-3.5166554137399735,volume_2GIVE
-3.498239461384228,volume_MLN
3.4152125716377304,volume_SBD
3.3734428367426608,volume_XST
-3.2977406057536998,price_close_SYNX
3.2680597412523,price_high_BTCD
-3.1759683555289873,volume_POWR
3.172519858283243,volume_XRP
3.1636403936690964,volume_CRW
3.148241036895778,price_open_DNT
-3.016574314077895,volume_MCO
-3.011671990366594,price_close_EXP
3.0014075247719294,volume_OK
-2.9823910652662393,volume_GUP
2.940873810441073,price_low_BCY
2.9055670814169714,volume_BYC
-2.8655024980605734,volume_CLUB
-2.822483406632281,volume_EFL
-2.8032825970008077,volume_GEO
-2.7586078025647747,volume_AEON
2.720614529384852,price_high_KORE
2.6190429675498565,volume_AUR
-2.5922727863485053,price_open_MUE
2.5891664329810578,volume_XVG
-2.559158512773969,price_close_AUR
2.5323781789030098,price_close_BRX
-2.4917688779336142,price_open_BAY
-2.3235495470296126,volume_DNT
-2.2807323568421007,volume_MUSIC
-2.1940127968310823,volume_DTB
2.1762999568143098,price_open_QRL
2.1690168145907975,volume_XMY
2.025362767645851,volume_EXCL
-2.005393932087209,price_high_MLN
-1.926976127055396,volume_RISE
1.9092571554802578,price_open_FUN
1.8117334626071124,volume_MER
-1.808367968882849,volume_AMP
-1.7797707285559465,volume_SEQ
1.5310803735404659,volume_TX
-1.1672032258845333,price_high_QTUM
-1.027953552385231,price_close_MLN
